# \kappa   m (fermion mass)        jackknife error         nmeas

"{/Symbol b} = 2.0"
  0.20000  0.5782001454265552E+00  0.7190771822750905E-02   1000
  0.20200  0.5590716886513922E+00  0.5495650236372545E-02   1000
  0.20400  0.5419489898564974E+00  0.5630997251280502E-02   1000
  0.20600  0.5240482223316757E+00  0.6739731377787665E-02   1000
  0.20800  0.5085672962807208E+00  0.5932175587843049E-02   1000
  0.21000  0.4898864355878758E+00  0.5595344298181779E-02   1000
  0.21200  0.4736706452534123E+00  0.5658825797260747E-02   1000
  0.21400  0.4576323249790406E+00  0.4697706070611997E-02   1000
  0.21600  0.4413089188950976E+00  0.4593130732888049E-02   1000
  0.21800  0.4242046692265332E+00  0.5274263256634901E-02   1000
  0.22000  0.4093004640901426E+00  0.5249478260112216E-02   1000
  0.22200  0.3939936556036000E+00  0.4422802015700727E-02   1000
  0.22400  0.3782341555196123E+00  0.5952038754637574E-02   1000
  0.22600  0.3617783596075873E+00  0.5167882102713649E-02   1000
  0.22800  0.3467546091723642E+00  0.4035268423838370E-02   1000
  0.23000  0.3326930001303500E+00  0.4009014657774299E-02   1000
  0.23200  0.3165024162803396E+00  0.5310469014326228E-02   1000
  0.23400  0.3018960595905374E+00  0.4216652791663344E-02   1000
  0.23600  0.2874384565309352E+00  0.3412620303172008E-02   1000
  0.23800  0.2736025895866109E+00  0.4301007790679524E-02   1000
  0.24000  0.2581102205897490E+00  0.5429184390168783E-02   1000
  0.24200  0.2435167457084454E+00  0.3608341025868957E-02   1000
  0.24400  0.2285686515888709E+00  0.3431873441379349E-02   1000
  0.24600  0.2134389886380267E+00  0.3214167957369172E-02   1000
  0.24800  0.2019504944197130E+00  0.2799547254720253E-02   1000
  0.25000  0.1862383664048031E+00  0.2111536633446459E-02   1000
  0.25200  0.1730087937791234E+00  0.2554933154035060E-02   1000
  0.25400  0.1601541644384383E+00  0.2431855116462264E-02   1000
  0.25600  0.1439349566493974E+00  0.2488424398095442E-02   1000
  0.25800  0.1324172057068448E+00  0.3411873599405067E-02   1000
  0.26000  0.1172524780238371E+00  0.2247208494810908E-02   1000
  0.26200  0.1052954290635569E+00  0.2469493707042161E-02   1000
  0.26400  0.9292330265136818E-01  0.2001984025887895E-02   1000
  0.26600  0.7714629818792980E-01  0.2343108068045880E-02   1000
  0.26800  0.6370834573502471E-01  0.2476498561237694E-02   1000
  0.27000  0.5224098402875958E-01  0.5044277190194763E-02   1000
  0.27200  0.3536651830690254E-01  0.3211767184076228E-02   1000
  0.27400  0.2494765055381933E-01  0.2783275479243884E-02   1000
  0.27600  0.1409814713333601E-01  0.3982621166991504E-02   1000
  0.27800 -0.5937000154851645E-02  0.4541412195327999E-02   1000
  0.28000 -0.2743756935554130E-01  0.3323880421803645E-02   1000
  0.28200 -0.3621328997651861E-01  0.5072744481366718E-02   1000
  0.28400 -0.7003501661692113E-01  0.5567037176853006E-02   1000
  0.28600 -0.7214345969968622E-01  0.1234925746376746E-01   1000
  0.28800 -0.9557267777226403E-01  0.5490607621801993E-02   1000
  0.29000 -0.1147912992162429E+00  0.4445474723625551E-02   1000
  0.29200 -0.1249560088042558E+00  0.9532198032072428E-02   1000
  0.29400 -0.1430241318531687E+00  0.8795243338245069E-02   1000
  0.29600 -0.1581460090824471E+00  0.7178725628126753E-02   1000
  0.29800 -0.1746143826957658E+00  0.9721663076264061E-02   1000
  0.30000 -0.1748405342943548E+00  0.2544181251357628E-01   1000


"{/Symbol b} = 6.0"
  0.20000  0.4721711778474213E+00  0.3406097223501665E-02   1000
  0.20200  0.4540807286406344E+00  0.3998493397919118E-02   1000
  0.20400  0.4363415033872748E+00  0.3299627177703860E-02   1000
  0.20600  0.4186560302641921E+00  0.2969873019929950E-02   1000
  0.20800  0.4010950574961857E+00  0.2770324606277490E-02   1000
  0.21000  0.3903288978844693E+00  0.5672940892243215E-02   1000
  0.21200  0.3681959535804010E+00  0.3113724106713818E-02   1000
  0.21400  0.3523244986641899E+00  0.4052487326576974E-02   1000
  0.21600  0.3328356459856796E+00  0.2670451166288764E-02   1000
  0.21800  0.3171345651906462E+00  0.2879975499055218E-02   1000
  0.22000  0.3008576093168752E+00  0.2574911708042752E-02   1000
  0.22200  0.2844943548895231E+00  0.2087694635498036E-02   1000
  0.22400  0.2672696837709791E+00  0.2986615097605121E-02   1000
  0.22600  0.2536823050413485E+00  0.1993536389641901E-02   1000
  0.22800  0.2366586077065824E+00  0.2136743494951362E-02   1000
  0.23000  0.2201221136363744E+00  0.2671274127300664E-02   1000
  0.23200  0.2058734212348737E+00  0.1842601141598154E-02   1000
  0.23400  0.1884988776380190E+00  0.2545854753311460E-02   1000
  0.23600  0.1750741411303983E+00  0.2293555169500654E-02   1000
  0.23800  0.1572914292485950E+00  0.2818358392109483E-02   1000
  0.24000  0.1423534776912683E+00  0.3040505317675380E-02   1000
